RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
1.51793,12.79,3.50,1.12,73.03,0.64,8.77,0.00,0.00,1
1.51643,12.16,3.52,1.35,72.89,0.57,8.53,0.00,0.00,1
1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0.00,0.00,1
1.51789,13.21,3.48,1.41,72.64,0.59,8.43,0.00,0.00,1
1.51755,13.00,3.60,1.36,72.99,0.57,8.40,0.00,0.11,1
1.51571,12.72,3.46,1.56,73.20,0.67,8.09,0.00,0.24,1
1.51763,12.80,3.66,1.27,73.01,0.60,8.56,0.00,0.00,1
1.51589,12.88,3.43,1.40,73.28,0.69,8.05,0.00,0.24,1
1.51748,12.86,3.56,1.27,73.21,0.54,8.38,0.00,0.17,1
1.51645,13.02,3.54,1.38,72.73,0.56,8.44,0.00,0.00,1
1.51763,12.85,3.56,1.27,73.21,0.54,8.38,0.00,0.17,2
1.51748,13.05,3.49,1.38,72.81,0.59,8.42,0.00,0.00,2
1.51748,13.05,3.49,1.38,72.81,0.59,8.42,0.00,0.00,2
1.51747,13.05,3.49,1.38,72.81,0.59,8.42,0.00,0.00,2
1.51615,12.79,3.57,1.62,72.87,0.61,8.37,0.00,0.17,2